City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vorkuta,67.5,64.0,279.08,61,100,4.53,RU,1686619189
83,tolanaro,-25.0319,46.9987,291.41,92,6,2.46,MG,1686618795
84,tannum sands,-23.9504,151.3693,299.12,57,0,2.06,AU,1686619190
85,bredasdorp,-34.5322,20.0403,286.74,72,56,11.94,ZA,1686618760
86,kodiak,57.79,-152.4072,284.88,54,0,7.2,US,1686618758
87,westport,41.1415,-73.3579,293.4,92,100,4.12,US,1686619070
88,bikenibeu village,1.3673,173.1241,303.13,79,40,2.57,KI,1686618813
89,kavaratti,10.5669,72.642,302.61,75,100,9.96,IN,1686618794
90,skoghall,59.3232,13.4655,282.46,81,98,1.03,SE,1686619191
91,lompoc,34.6391,-120.4579,295.38,75,30,3.13,US,1686618458
92,san patricio,28.017,-97.5169,302.69,77,95,6.56,US,1686618795
93,sona,45.4388,10.8255,293.9,77,75,3.09,IT,1686619192
94,tanumah,27.1,44.1333,303.89,18,1,6.18,SA,1686619192
95,simpang,-1.2667,104.0833,300.0,83,56,2.22,ID,1686619192
96,khovd,48.0056,91.6419,288.08,40,1,3.0,MN,1686619193
97,nuku'alofa,-21.1333,-175.2,295.34,88,75,1.03,TO,1686618774
98,aasiaat,68.7098,-52.8699,273.18,83,41,6.09,GL,1686618749
99,shache,38.4167,77.2406,299.17,18,100,2.63,CN,1686619193
100,longyearbyen,78.2186,15.6401,275.06,87,75,4.63,SJ,1686618815
101,pacific grove,36.6177,-121.9166,291.29,81,20,4.63,US,1686618869
102,loreto,22.2667,-101.9667,303.19,15,83,8.55,MX,1686619195
103,minas de marcona,-15.2119,-75.1103,285.46,85,85,8.58,PE,1686618874
104,smithers,54.7804,-127.1743,296.33,33,40,6.69,CA,1686619144
105,haiku-pauwela,20.9219,-156.3051,303.16,48,40,9.26,US,1686618773
106,malvan,16.0667,73.4667,301.08,80,13,7.1,IN,1686619196
107,boali,4.8005,18.1275,295.6,89,92,1.03,CF,1686619196
108,sao joao da barra,-21.6403,-41.0511,296.19,87,98,2.48,BR,1686618819
109,port lincoln,-34.7333,135.8667,287.08,59,97,10.3,AU,1686618802
110,abu jibeha,11.4562,31.2285,300.36,62,89,2.27,SD,1686619196
111,xilin hot,43.9667,116.0333,294.29,40,0,2.46,CN,1686618797
112,mokhsogollokh,61.4681,128.9203,278.63,77,100,1.52,RU,1686619197
113,kuanda,56.3161,116.0806,286.35,57,38,2.35,RU,1686619197
114,constantia,44.1833,28.65,285.76,82,39,7.06,RO,1686618750
115,alice springs,-23.7,133.8833,289.38,38,0,5.14,AU,1686618771
116,bay roberts,47.5999,-53.2648,280.96,93,100,4.02,CA,1686619198
117,tafuna,-14.3358,-170.72,299.12,100,100,3.6,AS,1686619198
118,yellowknife,62.456,-114.3525,281.44,66,75,2.57,CA,1686618758
119,carnarvon,-24.8667,113.6333,288.8,41,0,7.53,AU,1686618870
120,neiafu,-18.65,-173.9833,298.53,83,75,2.57,TO,1686619198
121,pingliang,35.5392,106.6861,296.27,29,70,3.53,CN,1686619199
122,brookings,44.3114,-96.7984,295.99,43,0,3.6,US,1686619199
123,saipan,15.1355,145.701,304.54,100,20,6.17,MP,1686619199
124,flin flon,54.7682,-101.865,299.01,24,0,4.77,CA,1686618922
125,nouadhibou,20.931,-17.0347,295.14,83,0,8.75,MR,1686618800
126,port isabel,26.0734,-97.2086,303.2,82,0,7.72,US,1686619201
127,port elizabeth,-33.918,25.5701,287.31,64,0,4.63,ZA,1686618761
128,laojunmiao,39.8333,97.7333,296.22,19,0,5.51,CN,1686619201
129,georgetown,5.4112,100.3354,303.12,70,20,3.6,MY,1686618640
130,newman,37.3138,-121.0208,302.34,50,52,2.24,US,1686618810
131,ribeira brava,32.65,-17.0667,292.99,83,97,0.29,PT,1686618798
132,egilsstadir,65.2653,-14.3948,281.1,76,0,1.03,IS,1686618817
133,stanley,54.868,-1.6985,285.77,88,40,0.55,GB,1686618753
134,loiza,18.4313,-65.8802,301.52,86,75,2.57,PR,1686619203
135,rudbar,30.15,62.6,301.41,19,2,3.88,AF,1686619204
136,faro,37.0194,-7.9322,292.03,82,0,4.12,PT,1686619204
137,badger,64.8,-147.5333,290.66,42,75,1.54,US,1686618771
138,geraldton,-28.7667,114.6,284.38,76,0,4.12,AU,1686618710
139,port blair,11.6667,92.75,301.27,84,100,8.11,IN,1686618820
140,katsuura,35.1333,140.3,297.16,88,91,5.77,JP,1686619168
141,steinkjer,64.193,11.3851,283.67,86,94,1.56,NO,1686619206
142,kloulklubed,7.0419,134.2556,297.43,80,100,4.67,PW,1686619206
143,olonkinbyen,70.9221,-8.7187,275.32,87,100,8.52,SJ,1686618759
144,invercargill,-46.4,168.35,284.17,88,92,2.14,NZ,1686618761
145,khandyga,62.6667,135.6,285.52,59,100,1.62,RU,1686618840
146,male,4.1748,73.5089,301.95,76,100,7.39,MV,1686618760
147,tarko-sale,64.9225,77.785,277.98,54,15,9.94,RU,1686619207
148,zierenberg,51.3695,9.3016,286.42,66,0,0.51,DE,1686619207
149,gadzhiyevo,69.2551,33.3362,282.23,71,100,3.86,RU,1686618794
150,kontagora,10.3999,5.4695,296.72,82,74,0.93,NG,1686619208
151,bichena,10.45,38.2,287.87,67,100,1.85,ET,1686619208
